,구,장애판정,온라인_교육_여부,pc_노트북_보유,피처폰_보유,스마트폰_태블릿PC_보유,뉴스_날씨,미디어콘텐츠,SNS,앱 검색 및 설치,직업,동_1_읍면_0,형제자매_존재,동거자녀_존재,부모_존재,배우자_존재,성별,최종학력,가구거주형태,건강상태,경제적_만족도,건강상태_만족도,여가문화생활_만족도,전반적인삶_만족도,가구월평균소득,만족도,디지털 기기 접근성,디지털 기기 활용성,연령
0,강서구,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,2,2,2,2,2,2,2,7,9.142857143,1.5,1.357142857,73
1,금정구,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,2,2,2,2,2,4,8.993902439,1.097560976,1.12195122,73.8490566
2,기장군,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,2,2,2,2,2,2,9,8.55,1.233333333,1.466666667,69.81818182
3,남구,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,3,2,2,3,2,3,2,4,9.610576923,1.096153846,1.346153846,73.55172414
4,동구,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,3,2,2,2,2,2,2,8,9.25,1.173913043,0.739130435,74.36
5,동래구,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,2,2,2,2,2,2,5,9.357142857,1.020408163,0.857142857,73.03703704
6,북구,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,2,2,2,2,2,2,5,8.823529412,1.254901961,1.490196078,72.33333333
7,사상구,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,2,2,2,2,2,2,6,8.701219512,1.195121951,1.56097561,71.3255814
8,사하구,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,2,2,3,2,2,2,4,9.638392857,1.107142857,0.857142857,73.75384615
9,서구,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,2,2,2,2,2,2,5,9.392857143,1,0.619047619,73.86206897
10,수영구,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,2,2,2,2,2,5,8.573170732,1.341463415,1.390243902,70.04878049
11,연제구,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,2,1,2,2,2,2,2,7,8.813953488,1.209302326,1.744186047,70.25
12,영도구,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,2,2,2,2,2,2,4,9.25,1.21875,0.96875,73.38235294
13,중구,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,2,2,2,2,3,2,5,9.25,1.2,1.2,73.08333333
14,진구,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,3,2,2,2,2,2,2,4,9.142857143,1.206349206,1.158730159,72.51315789
15,해운대구,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,3,2,2,2,2,2,2,5,9.205882353,1.161764706,1,74.06493506
